2020-04-27 03:45:20.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:30.091 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:30.092 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:40.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:40.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:50.096 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:45:50.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:00.094 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:00.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:10.091 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:10.092 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:20.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:20.102 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:30.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:30.098 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:40.100 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:40.101 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:50.095 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:46:50.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
2020-04-27 03:47:00.097 -03:00 [INF] --- SCHEDULER PedidoPagamentoInvocable (inicio) ---
